Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Scoring Off,Scoring Def,Passing Off,Passing Def,Rushing Off,Rushing Def,Total Off,Total Def
31,Georgia,SEC (East),30,10,3,0.64,8.35,8.98,45.93,3.29,9.45,4.67,6.60,2.84,7.72,3.71
32,UCLA,Pac-12 (South),35,8,5,4.04,4.70,8.73,49.45,5.91,9.08,3.62,6.34,3.12,7.53,3.35
33,Oklahoma State,Big 12,20,10,3,9.40,-0.90,8.50,54.57,12.94,10.59,5.66,4.59,3.23,7.64,4.31
34,Bowling Green State,MAC (East),35,10,4,9.40,-1.31,8.09,56.90,14.41,10.17,5.53,5.74,3.23,7.94,4.35
35,West Virginia,Big 12,35,8,5,1.96,5.64,7.59,47.96,5.50,9.14,5.21,5.82,2.66,7.12,3.86
36,Brigham Young,Ind,35,9,4,4.43,3.08,7.51,51.33,8.28,9.90,4.99,5.36,2.71,7.57,3.80
37,Northwestern,Big Ten (West),23,10,3,-5.11,12.41,7.30,37.95,1.88,7.16,3.92,5.44,2.39,5.95,3.30
38,Auburn,SEC (West),35,7,6,2.89,4.27,7.16,45.90,6.73,9.38,4.13,5.75,3.03,6.92,3.63
39,Louisville,ACC (Atlantic),35,8,5,4.03,2.66,6.69,48.21,7.75,9.79,5.00,6.03,2.00,7.57,3.56
40,Nebraska,Big Ten (West),35,6,7,8.56,-2.01,6.56,51.51,11.70,9.87,5.82,6.00,2.75,7.68,4.65
1,Oregon,Pac-12 (North),2,13,2,14.36,7.86,22.22,90.41,-24.11,14.16,2.31,8.43,1.61,10.84,1.91
2,Ohio State,Big Ten (East),1,14,1,13.44,7.00,20.44,91.53,-23.00,13.41,1.71,8.79,0.85,10.58,1.32
3,Alabama,SEC (West),4,12,2,9.46,10.88,20.34,87.16,-30.13,13.54,1.65,8.25,0.14,10.54,1.12
4,Texas Christian,Big 12,3,12,1,11.20,7.76,18.96,91.76,-25.56,12.33,2.47,8.11,0.15,10.18,1.23
5,Georgia,SEC (East),9,10,3,10.88,7.96,18.84,89.55,-26.48,12.70,1.21,9.22,1.28,10.60,1.30
6,Ole Miss,SEC (West),17,9,4,0.87,15.93,16.80,77.75,-34.47,12.61,1.31,7.54,0.37,9.83,0.84
7,Michigan State,Big Ten (East),5,11,2,9.76,6.31,16.07,86.82,-23.25,12.82,2.39,8.06,0.21,10.03,1.59
8,Georgia Tech,ACC (Coastal),8,11,3,13.44,2.48,15.92,85.51,-21.10,13.80,3.30,9.14,1.99,10.41,2.69
