School,AP Rank,W,L,Pass Cmp,Pass Att,Pass Pct,Pass Yds,Pass TD,Rush Att,Rush Yds,Rush Avg,Rush TD,Total Plays,Total Yds,Total Avg,FstD Pass,FstD Rush,FstD Pen,FstD Tot,Pen No,Pen Yds,Fum,Int,Tot Turn,SOS
TCU,3,12,1,8.4,6.5,12.9,93.2,1.5,0.1,98.0,2.5,1.8,6.5,191.2,2.0,4.1,4.1,0.5,8.7,0.8,9.0,-0.3,-1.2,-1.4,58
Ole Miss,17,9,4,1.3,2.0,0.6,71.5,0.9,-2.9,18.6,0.7,0.9,-0.9,90.1,1.3,2.4,-0.7,0.3,2.0,-0.7,-11.3,0.0,-0.5,-0.6,3
MSU,5,11,2,0.2,-3.4,6.3,38.3,0.7,17.8,146.7,1.9,2.0,14.4,185.0,1.4,3.2,6.6,-0.4,9.4,0.6,13.3,-0.7,-0.7,-1.4,54
Ga tech,8,11,3,-12.5,-17.5,-10.7,-109.3,0.0,23.3,174.5,1.0,1.7,5.8,65.2,0.4,-5.8,9.6,-0.1,3.6,-0.5,-2.9,0.1,-0.9,-0.8,23
Mississippi State,11,10,3,-0.2,-6.3,9.4,7.9,1.1,8.2,81.6,1.0,0.9,1.8,89.4,1.1,1.2,3.5,0.4,5.1,0.8,2.9,0.3,-0.3,0.0,22
Baylor,7,11,2,5.6,4.8,7.6,101.7,1.1,10.3,97.8,1.3,2.0,15.1,199.7,1.3,5.0,6.7,-1.2,10.4,3.0,21.8,-0.6,-0.4,-1.0,63
Arkansas,30,7,6,-1.4,-2.6,0.0,-20.8,0.1,9.8,103.4,1.6,1.6,7.3,82.6,0.7,0.4,3.7,0.7,4.9,-0.7,-4.4,-0.1,-0.4,-0.5,4
Florida State,5,13,1,5.9,5.8,7.0,76.5,0.3,-8.7,-32.0,0.1,0.4,-2.9,44.5,0.9,4.0,-2.5,0.4,1.9,0.7,-1.2,0.0,0.4,0.4,19
UCLA,10,10,3,-0.6,-4.7,6.9,7.7,0.1,4.0,61.6,1.1,0.5,-0.8,69.3,0.9,-0.7,2.6,-1.1,0.7,2.3,24.2,0.4,-0.3,0.0,1
Arizona State,12,10,3,-0.6,-4.7,6.9,7.7,0.1,4.0,61.6,1.1,0.5,-0.8,69.3,0.9,-0.7,2.6,-1.1,0.7,2.3,24.2,0.4,-0.3,0.0,33
Kansas State,18,9,4,-0.2,-1.9,3.1,58.4,0.3,2.8,-6.1,-0.4,1.0,0.9,52.3,0.7,0.7,0.5,1.4,2.4,-2.3,-20.9,-0.1,-0.6,-0.6,37
Wisconsin,13,11,3,0.5,-1.8,6.0,-19.3,0.0,11.2,194.0,3.3,1.9,9.4,174.8,1.9,0.8,6.9,-0.3,7.3,-1.3,-2.7,-0.1,0.7,0.7,52
Marshall,23,13,1,1.8,0.5,4.5,90.4,1.4,-2.2,111.7,3.0,1.8,-1.7,202.1,2.9,4.0,1.6,-1.0,4.6,2.4,21.8,0.2,0.0,0.1,109
Florida State,1,14,0,4.7,1.1,13.2,159.3,2.0,-2.2,78.3,2.3,2.5,-1.2,237.7,3.6,6.0,2.7,0.3,9.0,0.5,3.7,-0.2,-1.0,-1.2,59
Oregon,9,11,2,-1.1,-5.7,6.7,87.0,1.4,0.4,108.0,2.5,1.9,-5.4,194.9,2.9,3.3,3.7,-1.0,6.0,3.4,27.8,0.0,-0.8,-0.8,24
Alabama,7,11,2,3.6,0.8,11.3,68.2,1.3,3.5,99.4,2.5,1.6,4.2,167.6,2.3,3.0,4.9,0.3,8.3,-0.7,-3.1,0.2,-0.3,-0.2,35
Missouri,5,12,2,-6.3,-8.1,-4.0,-12.0,0.9,5.4,85.0,1.5,1.1,-2.7,72.8,1.2,-0.3,2.8,0.7,3.3,-2.3,-16.8,-0.3,-0.8,-1.2,13
Stanford,11,11,3,-11.0,-17.4,-1.0,-55.9,-0.1,10.6,117.7,2.1,1.5,-6.7,61.9,1.4,-3.2,2.5,-0.7,-1.4,-0.1,-1.6,0.2,-0.2,0.0,4
Auburn,2,12,2,-8.0,-14.9,2.8,-85.6,0.0,16.6,166.3,1.7,2.0,1.8,80.7,0.9,-4.5,8.1,-0.3,3.3,-0.7,-2.3,0.4,-0.3,0.0,6
Arizona State,21,10,4,4.3,3.5,6.6,31.2,0.3,7.9,53.8,0.5,1.1,11.4,84.9,0.3,2.2,3.8,1.0,6.9,-2.6,-25.2,-0.5,-0.6,-1.1,3
UCLA,16,10,3,-0.1,-3.3,6.6,33.8,0.7,0.9,27.2,0.5,1.3,-2.5,61.0,1.0,0.5,0.9,-0.6,0.8,1.8,16.3,-0.4,-0.4,-0.8,12
Baylor,13,11,2,5.0,0.7,13.6,144.2,0.9,6.2,114.3,1.9,2.4,6.8,258.5,2.7,5.4,5.9,-1.2,10.0,3.0,28.2,0.0,-1.0,-1.0,55
Oklahoma State,17,10,3,-0.8,-4.4,4.3,34.7,0.8,-0.4,29.2,0.8,1.9,-4.8,63.9,1.1,0.8,-0.5,-0.1,0.0,-0.3,3.4,-0.5,-0.6,-1.1,34
